# Started Thu Apr  9 08:23:00 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras,partition
6d20359c-266b-464a-bb64-d105f4337cb3,float,engine-temp-1,1775737380.871147,94.32359995904798,1.0,validated,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
21eb8b99-52d9-4ebb-b7a1-04c3e7fff5b7,float,speed-1,1775737380.871147,79.09097909026174,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
1afae751-5d1d-40c3-b85a-00145002cbda,float,speed-1,1775737381.8787448,79.73503367942376,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
816886e4-ca9b-41f7-8287-073b4e3320b5,float,engine-temp-1,1775737381.8787448,96.48791913787367,1.0,validated,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
c662215d-13c0-4f46-95e5-910a18ef10a8,float,engine-temp-1,1775737382.8678,93.91478396112205,1.0,validated,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
87f44fed-cd45-4562-920d-c152e96af3ad,float,speed-1,1775737382.8678,80.49604608705566,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
43a4a30c-ac36-4bc4-9747-68d73312a135,float,speed-1,1775737383.8695726,80.37894801901616,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
4266879f-80cc-4662-926f-df07c2cb101d,float,engine-temp-1,1775737383.8695726,95.37028525884341,1.0,validated,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
63297e8c-1682-4c66-b8f0-e89ebf774ead,float,engine-temp-1,1775737384.8663545,96.10724437938053,1.0,validated,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
8eee0337-390c-47bb-9193-f5134a25e11c,float,speed-1,1775737385.8646271,80.72876325847356,1.0,validated,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""full_role""}",observed.validated
