# Started Sun Apr 26 10:47:25 2026
id,type,src,event_ts,value,confidence,event_status,value_datatype,value_unit,extras,partition
2412402d-a1d8-462b-9cf9-642d2b563750,float,speed-1,1777214845.0069268,80.09343292632477,1.0,observed,scalar,km/h,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""pending_entry""}",observed
8c341f80-e262-40f0-9a7a-177f21ec8828,float,engine-temp-1,1777214846.0131497,95.1971261983444,1.0,observed,scalar,C,"{""health"": ""ideal"", ""belonging_main"": ""active"", ""belonging_sub"": ""pending_entry""}",observed
3a900244-79d0-4566-814d-43143c93ce57,float,speed-1,1777214846.0131497,81.22471587699006,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
d9098f6b-fa2e-4d8c-820a-32e6f5aac006,simulated,speed-1,1777214846.0018108,80.1453401076163,0.8884329754859506,reconstructed,unknown,,"{""interval"": 1.0, ""reconstruction_method"": ""KalmanFilter"", ""reconstruction_time"": 1777214846.1381729}",reconstructed
5a920eca-3b65-419a-af66-700659b182fc,float,speed-1,1777214847.0130138,79.45120233640316,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
b12c98db-0047-4ac9-a46e-a5479200ea12,float,engine-temp-1,1777214847.0130138,94.64187465748627,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
767fd44c-9306-4c3f-894c-a527604c0f37,float,speed-1,1777214848.0139651,79.42252242318922,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
e2686422-a620-4d85-b8d9-bb92e8042169,float,engine-temp-1,1777214848.0149689,95.72236284675321,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
d8cbb0a0-2c0b-4832-b134-b680f989f5b5,float,engine-temp-1,1777214849.0141652,93.92357207754395,1.0,validated,scalar,C,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
023161b5-7e7a-416b-ab69-e024b313c49f,float,speed-1,1777214849.0141652,79.98965350683808,1.0,validated,scalar,km/h,"{""health"": ""erroneous"", ""belonging_main"": ""active"", ""belonging_sub"": ""restricted_role""}",observed.validated
