# Started Wed Oct 15 19:23:27 2025
stream_id,event_id,sampled_ts,arrival_ts,event_ts,datatype,unit,value,origin,reconstructed_value,reconstruction_method,confidence,reconstruction_flag,status,source,extras
speed-1,speed-1_0,1760570607.210579,1760570607.210579,1760570607.210579,float,km/h,13.050388367791022,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_1,1760570607.211578,1760570607.211578,1760570607.211578,float,km/h,11.449401825765989,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_2,1760570607.211578,1760570607.211578,1760570607.211578,float,km/h,10.883718860328496,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760570607.211578,1760570607.211578,1760570607.211578,float,C,72.10947023661073,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760570607.211578,1760570607.211578,1760570607.211578,float,C,71.95282384100909,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,C,73.26563660579731,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_0,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,%,49.95406525325075,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_1,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,%,49.605047548766784,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_0,1760570607.210579,1760570607.210579,1760570607.210579,float,km/h,13.050388367791022,source,26.324884905217246,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_1,1760570607.211578,1760570607.211578,1760570607.211578,float,km/h,11.449401825765989,source,17.323704024830334,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_2,1760570607.211578,1760570607.211578,1760570607.211578,float,km/h,10.883718860328496,source,13.333067630204432,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_0,1760570607.211578,1760570607.211578,1760570607.211578,float,C,72.10947023661073,source,74.34113425119149,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_1,1760570607.211578,1760570607.211578,1760570607.211578,float,C,71.95282384100909,source,73.00695404954425,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_2,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,C,73.26563660579731,source,73.10074147986079,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_0,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,%,49.95406525325075,source,49.95820314593121,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_1,1760570607.2127094,1760570607.2127094,1760570607.2127094,float,%,49.605047548766784,source,49.78064796384621,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760570607.769567,1760570607.769567,1760570607.769567,float,C,73.83473344989326,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_3,1760570607.769567,1760570607.769567,1760570607.769567,float,C,73.83473344989326,source,73.41133125561228,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_2,1760570607.9555597,1760570607.9555597,1760570607.9555597,float,%,49.93315722858003,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_2,1760570607.9555597,1760570607.9555597,1760570607.9555597,float,%,49.93315722858003,source,49.83800555836961,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_3,1760570608.206926,1760570608.206926,1760570608.206926,float,km/h,6.7075404066534094,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_3,1760570608.206926,1760570608.206926,1760570608.206926,float,km/h,6.7075404066534094,source,9.147101190311993,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760570608.6595232,1760570608.6595232,1760570608.6595232,float,C,74.42607989837596,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_4,1760570608.6595232,1760570608.6595232,1760570608.6595232,float,C,74.42607989837596,source,73.85665786594699,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_4,1760570609.2052643,1760570609.2052643,1760570609.2052643,float,km/h,2.6917833468301255,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_3,1760570609.2052643,1760570609.2052643,1760570609.2052643,float,%,49.39335769702035,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_4,1760570609.2052643,1760570609.2052643,1760570609.2052643,float,km/h,2.6917833468301255,source,4.906104411927393,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_3,1760570609.2052643,1760570609.2052643,1760570609.2052643,float,%,49.39335769702035,source,49.693786950875655,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_5,1760570609.5499594,1760570609.5499594,1760570609.5499594,float,C,76.0571767598556,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_5,1760570609.5499594,1760570609.5499594,1760570609.5499594,float,C,76.0571767598556,source,74.86094025623015,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_5,1760570610.2044404,1760570610.2044404,1760570610.2044404,float,km/h,0.0,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_5,1760570610.2044404,1760570610.2044404,1760570610.2044404,float,km/h,0.0,source,1.370467041617686,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_6,1760570610.4381597,1760570610.4381597,1760570610.4381597,float,C,77.37077882934791,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_6,1760570610.4381597,1760570610.4381597,1760570610.4381597,float,C,77.37077882934791,source,76.03767605333229,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_4,1760570610.4539466,1760570610.4539466,1760570610.4539466,float,%,49.720724421672834,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_4,1760570610.4539466,1760570610.4539466,1760570610.4539466,float,%,49.720724421672834,source,49.70140503158113,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_6,1760570611.2010808,1760570611.2010808,1760570611.2010808,float,km/h,0.0,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_6,1760570611.2010808,1760570611.2010808,1760570611.2010808,float,km/h,0.0,source,-0.3047267936256206,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_7,1760570611.3261225,1760570611.3261225,1760570611.3261225,float,C,75.90457069539228,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_7,1760570611.3261225,1760570611.3261225,1760570611.3261225,float,C,75.90457069539228,source,76.02426446921649,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_5,1760570611.700358,1760570611.700358,1760570611.700358,float,%,49.322895563210544,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_5,1760570611.700358,1760570611.700358,1760570611.700358,float,%,49.322895563210544,source,49.592034319405926,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_7,None,1760570612.2028959,1760570612.1927412,float,km/h,-2.3500323013359607,missing,-2.3500323013359607,KalmanFilter,0.798357309133386,True,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_8,1760570612.219033,1760570612.219033,1760570612.219033,float,C,78.003133700761,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_8,1760570612.219033,1760570612.219033,1760570612.219033,float,C,78.003133700761,source,76.98890090983416,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_6,1760570612.9547918,1760570612.9547918,1760570612.9547918,float,%,49.48474528836836,source,None,None,None,None,observed,SimulatedStream,{}
fuel-1,fuel-1_6,1760570612.9547918,1760570612.9547918,1760570612.9547918,float,%,49.48474528836836,source,49.56081950065341,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_9,1760570613.0952637,1760570613.0952637,1760570613.0952637,float,C,79.60662996892329,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_9,1760570613.0952637,1760570613.0952637,1760570613.0952637,float,C,79.60662996892329,source,78.27802777948204,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
speed-1,speed-1_8,1760570613.203851,1760570613.203851,1760570613.203851,float,km/h,3.6257974862346325,source,None,None,None,None,observed,SimulatedStream,{}
speed-1,speed-1_8,1760570613.203851,1760570613.203851,1760570613.203851,float,km/h,3.6257974862346325,source,1.0760817650017422,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
engine-temp-1,engine-temp-1_10,1760570613.9974682,1760570613.9974682,1760570613.9974682,float,C,79.08756663569417,source,None,None,None,None,observed,SimulatedStream,{}
engine-temp-1,engine-temp-1_10,1760570613.9974682,1760570613.9974682,1760570613.9974682,float,C,79.08756663569417,source,78.76167844977742,KalmanFilter,1.0,False,reconstructed,SimulatedStream,{}
fuel-1,fuel-1_7,1760570614.2010033,1760570614.2010033,1760570614.2010033,float,%,49.626531865839375,source,None,None,None,None,observed,SimulatedStream,{}
